time,open,close,high,low,volume
2018-06-14 16:30:00,0.006,4.5,4.5,0.006,86.8908664
2018-06-14 16:45:00,4.0,1.6,4.0,1.6,59.88
2018-06-14 17:00:00,2.71,4.48,4.48,2.71,0.15414599
2018-06-14 17:10:00,4.98,4.98,4.98,4.7001,0.003
2018-06-14 17:15:00,4.6001,4.6001,4.6001,4.6001,0.001
2018-06-14 17:50:00,4.8,4.8,4.8,4.8,0.00185326
2018-06-14 17:55:00,4.6,4.6,4.7,4.6,80.16451065
2018-06-14 18:00:00,4.969,4.701,4.969,4.701,0.042960000000000005
2018-06-14 18:15:00,4.969,4.969,4.969,4.969,0.015
2018-06-14 18:25:00,4.682,4.682,4.682,4.682,50.0
2018-06-14 18:30:00,4.682,4.969,4.969,4.682,134.28971597999998
2018-06-14 18:35:00,4.692,4.967,4.969,4.692,255.0946776
2018-06-14 18:40:00,4.692,4.692,4.692,4.692,51.0
2018-06-14 19:15:00,4.391,4.391,4.391,4.391,0.001
2018-06-14 19:30:00,4.9488,4.692,4.9488,4.692,50.00790656
2018-06-14 19:35:00,4.9488,4.939,4.9488,4.691,49.002
2018-06-14 20:55:00,4.39,4.39,4.39,4.39,4.93626315
2018-06-14 21:45:00,4.39,4.39,4.39,4.39,39.88
2018-06-14 21:50:00,4.884,4.884,4.884,4.884,5.0
2018-06-14 22:05:00,4.889,4.884,4.889,4.884,12.01
2018-06-15 01:10:00,4.391,4.8489,4.8489,4.391,59.017624
2018-06-15 02:40:00,4.39,4.39,4.39,4.39,42.58706625
2018-06-15 03:00:00,4.844,4.844,4.844,4.844,2.2
2018-06-15 03:20:00,4.844,4.844,4.844,4.844,14.0
2018-06-15 10:05:00,4.65,4.65,4.65,4.65,125.0
2018-06-15 10:10:00,2.71,2.71,2.71,2.71,5.0
2018-06-15 10:50:00,4.7999,4.8,4.8,4.7999,218.75
2018-06-15 11:05:00,4.8,4.957,4.957,4.8,1159.73210451
2018-06-15 12:35:00,4.5,4.5,4.5,4.5,13.972
2018-06-15 12:40:00,5.3999,4.5,5.3999,4.5,4.845489349999999
2018-06-15 14:55:00,4.95,4.95,4.95,4.95,40.0
2018-06-15 15:25:00,4.95,4.95,4.95,4.95,6.73
2018-06-15 16:50:00,5.0,5.0,5.0,5.0,10.0
2018-06-15 20:25:00,5.0,5.18,5.18,5.0,10.0
2018-06-15 20:50:00,5.18,5.18,5.18,5.18,4.9
2018-06-15 20:55:00,5.18,5.18,5.18,5.18,36.24505242
2018-06-15 21:50:00,5.14,5.14,5.14,5.14,8.0
2018-06-16 03:45:00,5.13,5.13,5.13,5.13,13.22573743
2018-06-16 05:15:00,5.13,5.13,5.13,5.13,9.4
2018-06-16 05:30:00,5.0,5.0,5.0,5.0,2.0
2018-06-16 09:05:00,5.13,5.15,5.15,5.13,15.0
2018-06-16 13:10:00,4.5,4.5,4.5,4.5,5.022136
2018-06-17 00:25:00,5.35,5.35,5.35,5.35,2.0
2018-06-17 06:20:00,4.5,4.5,4.5,4.5,36.17256232
2018-06-17 14:25:00,4.71,4.71,4.71,4.71,4.8902
2018-06-17 17:55:00,5.3,5.3,5.3,5.3,15.7
2018-06-18 05:10:00,4.71,4.51,4.71,4.51,199.51135
2018-06-18 05:50:00,4.5101,4.51,4.5101,4.51,129.74212058999998
2018-06-18 06:10:00,4.51,4.51,4.51,4.51,51.112102
2018-06-18 11:25:00,4.49,4.49,4.49,4.49,4.0
2018-06-18 22:55:00,4.49,4.49,4.49,4.49,62.80644287
2018-06-19 12:10:00,4.49,4.49,4.49,4.49,73.19355713
2018-06-19 15:35:00,4.0033,4.0,4.0033,4.0,1240.02243856
2018-06-19 16:00:00,4.0,4.0,4.0,4.0,45.3465
2018-06-19 19:15:00,4.0,4.0,4.0,4.0,15.98859925
2018-06-19 19:20:00,5.0,5.27,5.27,5.0,147.8406121
2018-06-19 20:55:00,3.66,3.6101,3.66,3.6101,143.55293087
2018-06-21 08:10:00,4.87,4.98,4.98,4.87,200.0
2018-06-21 14:20:00,4.95,4.95,4.95,4.95,3.0
2018-06-21 14:45:00,4.92,4.92,4.92,4.92,100.0
2018-06-21 21:15:00,4.88,4.88,4.88,4.88,10.4
2018-06-22 10:05:00,3.88,3.87,3.88,3.87,134.06494133
2018-06-22 10:10:00,3.87,3.85,3.87,3.85,54.649527479999996
2018-06-22 10:20:00,3.6548,3.61,3.6548,3.61,436.0
2018-06-22 11:05:00,3.64,3.61,3.64,3.61,186.92909505
2018-06-22 11:50:00,3.61,3.61,3.61,3.61,140.0595
2018-06-22 13:55:00,3.5002,3.5002,3.5002,3.5002,2.0
2018-06-22 23:35:00,4.45,4.45,4.45,4.45,40.82754262
2018-06-22 23:40:00,4.45,4.45,4.45,4.45,2.48791896
2018-06-24 06:10:00,3.62,3.62,3.62,3.62,13.89480662
2018-06-24 06:15:00,3.5989,3.1564,3.5989,3.1564,164.0
2018-06-24 15:20:00,3.1564,3.1564,3.1564,3.1564,59.27810583
2018-06-24 15:35:00,3.1564,3.1564,3.1564,3.1564,144.2719315
2018-06-24 18:30:00,4.04,4.04,4.04,4.04,2.0
2018-06-25 14:00:00,3.0,3.0,3.0,3.0,2.0
2018-06-25 14:50:00,4.01,4.01,4.01,4.01,2.51
2018-06-26 07:20:00,2.7305,2.7305,2.7305,2.7305,20.3592
2018-06-26 09:00:00,3.63,4.01,4.01,3.63,161.93241702
2018-06-26 09:55:00,2.6982,2.6982,2.6982,2.6982,100.0
2018-06-26 14:40:00,3.4994,3.6,3.6,3.4994,165.53591765
2018-06-26 15:55:00,3.6,3.6,3.6,3.6,5.0
2018-06-26 16:00:00,3.6,3.6,3.6,3.6,10.0
2018-06-26 22:55:00,3.11,2.7,3.11,2.7,426.61339
2018-06-27 12:20:00,3.299,3.299,3.299,3.299,5.0
2018-06-28 16:05:00,3.14,2.69,3.1999,2.69,19.98
2018-06-29 03:45:00,3.1399,3.2,3.2,3.1399,111.52417
2018-06-29 06:50:00,2.71,2.3156,2.71,2.3156,225.97645139
2018-06-29 07:30:00,2.3492,2.3492,2.3492,2.3492,43.22883065
2018-06-29 08:00:00,2.3509,2.3509,2.3509,2.3509,5.988
2018-06-30 01:20:00,2.91,2.91,2.91,2.91,9.25653345
2018-07-02 09:50:00,2.9996,2.9996,2.9996,2.9996,4.0
2018-07-02 13:50:00,2.9996,2.9996,2.9996,2.9996,10.0
2018-07-02 14:40:00,2.9996,2.9996,2.9996,2.9996,4.0
2018-07-02 15:10:00,2.9996,2.9996,2.9996,2.9996,15.0
2018-07-02 20:00:00,2.9996,2.9996,2.9996,2.9996,30.0
2018-07-03 07:25:00,2.51,2.51,2.51,2.51,14.97
2018-07-03 08:20:00,2.9995,2.99,2.9995,2.99,20.5129848
2018-07-03 08:25:00,2.9995,2.9996,2.9996,2.9995,31.45326897
2018-07-03 12:50:00,2.9995,2.9995,2.9995,2.9995,30.0
2018-07-03 20:10:00,2.7302,2.7301,2.7302,2.7301,51.87257775
2018-07-04 10:35:00,2.6401,2.6401,2.6401,2.6401,4.98002
2018-07-04 10:55:00,2.9995,2.9996,2.9996,2.9995,104.52764272
2018-07-04 11:50:00,3.0999,3.0999,3.0999,3.0999,68.93134714
2018-07-04 22:00:00,3.0997,3.1,3.1,3.0997,117.57791558
2018-07-05 08:45:00,3.1858,3.1858,3.1858,3.1858,22.0
2018-07-06 00:40:00,2.66,2.64,2.66,2.64,29.94
2018-07-06 13:55:00,2.9899,2.9899,2.9899,2.9899,8.71488765
2018-07-06 14:10:00,2.9899,2.9899,2.9899,2.9899,4.0
2018-07-06 17:30:00,2.6401,2.6401,2.6401,2.6401,10.0
2018-07-06 17:35:00,2.6401,2.6401,2.6401,2.6401,18.0
2018-07-06 21:00:00,2.641,2.6409,2.641,2.6409,40.793484449999994
2018-07-06 21:55:00,2.975,2.975,2.975,2.975,5.0
2018-07-07 10:15:00,2.65,2.6409,2.65,2.6409,54.87800433
2018-07-08 08:00:00,2.6409,2.6408,2.6409,2.6408,14.985000000000001
2018-07-08 11:20:00,3.085,3.085,3.085,3.085,8.0
2018-07-08 13:40:00,3.085,3.17,3.17,3.085,53.00399994
2018-07-10 03:35:00,2.8,2.7276,2.8,2.7276,279.0
2018-07-10 05:10:00,2.6647,2.64,2.6647,2.64,266.0069226
2018-07-10 09:30:00,2.5511,2.55,2.5511,2.55,59.718861520000004
2018-07-10 09:40:00,2.5001,2.5001,2.5001,2.5001,10.09316698
2018-07-10 14:25:00,2.5001,2.5,2.5001,2.5,19.552109090000002
2018-07-10 14:35:00,2.4505,2.4505,2.4505,2.4505,15.2123
2018-07-10 14:40:00,2.4499,2.4521,2.4521,2.4499,27.939076
2018-07-11 07:55:00,2.4488,2.4488,2.4488,2.4488,18.47844189
2018-07-12 02:45:00,2.4488,2.3974,2.4488,2.3974,31.596999999999998
2018-07-12 08:00:00,2.3974,2.33,2.3974,2.33,421.70898601
2018-07-12 08:05:00,2.3301,2.3301,2.3301,2.3301,13.46301399
2018-07-12 08:35:00,2.7,2.739,2.739,2.7,4.77962829
2018-07-12 09:20:00,2.35,2.35,2.35,2.35,4.0
2018-07-12 10:30:00,2.434,2.434,2.434,2.434,4.0
2018-07-12 14:05:00,2.3201,2.2,2.3201,2.2,184.0843
2018-07-13 02:40:00,2.2604,2.2604,2.2604,2.2604,4.0
2018-07-13 05:20:00,2.2,2.2,2.2,2.2,4.0
2018-07-13 06:05:00,2.212,2.3121,2.3121,2.212,40.0
2018-07-13 06:15:00,2.2672,2.2896,2.2896,2.2672,15.85233307
2018-07-14 06:15:00,2.251,2.1923,2.251,2.1923,671.9172
2018-07-14 07:00:00,2.2187,2.2,2.2187,2.2,52.89799194
2018-07-14 08:45:00,2.2001,2.1417,2.2001,2.1417,2379.3194
2018-07-14 08:55:00,2.1411,2.1411,2.1411,2.1411,7.29525786
2018-07-14 09:10:00,2.141,2.0897,2.141,2.0897,48.14746892
2018-07-14 09:30:00,2.05,2.05,2.05,2.05,50.0
2018-07-14 10:15:00,2.0386,2.0,2.0386,2.0,1152.8924972
2018-07-14 15:25:00,2.0773,2.0774,2.0774,2.0773,100.0
2018-07-14 21:35:00,2.0722,2.0774,2.0774,2.0722,177.1825
2018-07-15 13:20:00,2.08,2.08,2.08,2.08,39.96
2018-07-15 15:45:00,2.171,2.171,2.171,2.171,41.80986517
2018-07-16 05:20:00,2.1563,2.1473,2.1563,2.1473,20.0
2018-07-16 08:25:00,2.1153,2.0833,2.1153,2.0833,4.01580303
2018-07-16 09:25:00,2.1361,2.145,2.145,2.1049,31.92431569
2018-07-16 09:35:00,2.1449,2.1509,2.1509,2.1449,23.57761558
